_______June_2022_____________T-AIRS(^S^o^N^C) Anomaly vs 2007-2016              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        2.7173
   2   1 -177.00  -89.00        2.7173
   3   1 -175.00  -89.00        2.7173
   4   1 -173.00  -89.00        2.7173
   5   1 -171.00  -89.00        2.7173
   6   1 -169.00  -89.00        2.7173
   7   1 -167.00  -89.00        2.7173
   8   1 -165.00  -89.00        2.7173
   9   1 -163.00  -89.00        2.7173
  10   1 -161.00  -89.00        2.7173
  11   1 -159.00  -89.00        2.7173
  12   1 -157.00  -89.00        2.7173
  13   1 -155.00  -89.00        2.7173
  14   1 -153.00  -89.00        2.7173
  15   1 -151.00  -89.00        2.7173
  16   1 -149.00  -89.00        2.7173
  17   1 -147.00  -89.00        2.7173
  18   1 -145.00  -89.00        2.7173
  19   1 -143.00  -89.00        2.7173
  20   1 -141.00  -89.00        2.7173
  21   1 -139.00  -89.00        2.7173
  22   1 -137.00  -89.00        2.7173
  23   1 -135.00  -89.00        2.7173
  24   1 -133.00  -89.00        2.7173
  25   1 -131.00  -89.00        2.7173
  26   1 -129.00  -89.00        2.7173
  27   1 -127.00  -89.00        2.7173
  28   1 -125.00  -89.00        2.7173
  29   1 -123.00  -89.00        2.7173
  30   1 -121.00  -89.00        2.7173
  31   1 -119.00  -89.00        2.7173
  32   1 -117.00  -89.00        2.7173
  33   1 -115.00  -89.00        2.7173
  34   1 -113.00  -89.00        2.7173
  35   1 -111.00  -89.00        2.7173
  36   1 -109.00  -89.00        2.7173
  37   1 -107.00  -89.00        2.7173
  38   1 -105.00  -89.00        2.7173
  39   1 -103.00  -89.00        2.7173
  40   1 -101.00  -89.00        2.7173
  41   1  -99.00  -89.00        2.7173
  42   1  -97.00  -89.00        2.7173
  43   1  -95.00  -89.00        2.7173
  44   1  -93.00  -89.00        2.7173
  45   1  -91.00  -89.00        2.7173
  46   1  -89.00  -89.00        2.7173
  47   1  -87.00  -89.00        2.7173
  48   1  -85.00  -89.00        2.7173
  49   1  -83.00  -89.00        2.7173
  50   1  -81.00  -89.00        2.7173
  51   1  -79.00  -89.00        2.7173
  52   1  -77.00  -89.00        2.7173
  53   1  -75.00  -89.00        2.7173
  54   1  -73.00  -89.00        2.7173
  55   1  -71.00  -89.00        2.7173
  56   1  -69.00  -89.00        2.7173
  57   1  -67.00  -89.00        2.7173
  58   1  -65.00  -89.00        2.7173
